Antônio, empresário do ramo de produtos alimentícios, acabara de descobrir que uma de suas principais empresas concorrentes está desenvolvendo um de seus produtos, este que possui um conjunto de receitas e combinações exclusivas. Agora ele busca descobrir a causa do vazamento de informações sigilosas de sua empresa, esta que possui apenas dois colaboradores com acesso à internet corporativa e sem rígidas políticas de segurança. Relacionado à Segurança da Informação, que atitude deveria ter sido tomada antes deste acontecimento?;Orientar seus colaboradores para a não divulgação do material sigiloso;Estabelecer bloqueio de sistemas de saída do sistema computacional;Não utilizar computadores na empresa;2
A empresa “LogTech”, especializada em logística de produtos relacionados à área da informática, tem seu processo interrompido devido a um corte de energia elétrica abrangendo toda a cidade. Seu sistema de geradores estava em manutenção e o nobreak não funcionou. Lucas é responsável por realizar o backup das informações e dados da empresa quando lhe é disponibilizado tempo para tal. Porém, devido à ocupação em outras áreas da empresa, Lucas acabou não realizando o último backup dos dados em seu HD externo e o corte de energia elétrico acabou desligando os equipamentos. Qual a falha da empresa?;Não conceder tempo para Lucas realizar o backup dos dados em seu HD externo;Não estar com o sistema de geradores e nobreak em funcionamento;Não possuir um sistema automatizado de backup com armazenamento em nuvem;3
Matheus possui uma empresa do ramo de empréstimos financeiros. Como ele tem um amigo que assistiu algumas vídeo aulas no YouTube sobre Segurança da Informação, o contatou para lhe assessorar na questão de antivírus e firewall, este instalou um dos melhores antivírus do mercado, que é pago, porém encontrou um crack para o seu perfeito funcionamento. Certo dia, Matheus descobre que dados cadastrais de seus clientes teriam vazado para a web. Então ele decide ir em busca de um profissional da área para rever seus conceitos sobre Segurança da Informação. O que Matheus deveria ter feito para evitar o ocorrido?;Investir em antivírus corporativo e firewall com assessoria qualificada;Não ter contatado seu amigo e ter feito o trabalho por conta própria;Matheus deveria ter solicitado a instalação de dois antivírus simultâneos em suas máquinas para aumentar a segurança;1
Cada informação é classificada com um nível de relevância específico. De acordo com estes níveis, uma informação pode ser:;Comercial, Particular, Sigilosa ou Secreta;Comercial, Particular, Sigilosa ou Confidencial;Pública, Interna, Confidencial ou Secreta;3
A segurança da informação tem como base os seguintes aspectos, denominados pilares da segurança da informação;Confidencialidade, Integridade, Disponibilidade;Proteção, Legalização de Software, Backup;Nenhuma das anteriores;1
Segundo a ABNT (2005) quais são os ativos de uma empresa em relação a segurança da informação?;Conhecimento de mercado, Móveis e Imoveis;Informações, Software e Hardware;Capital, Estoque, Maquinas para produção;2
Qual alternativa mostra como são classificadas as informações?;pública, interna, confidencial, restrita;privada, interna, confidencial, secreta;pública, interna, particular, secreta;1
Nos dias de hoje segurança é tudo, e quando se fala em segurança da informação, nos vem à cabeça a criptografia assimétrica, sobre este tema, dentre as três alternativas, qual seria a incorreta quanto a uma desvantagem utilizada;os algoritmos são muito mais complexos;exige mínimo poder de processamento;mais lenta comparada à criptografia simétrica;2
Sites de comércio eletrônico podem ser citados como alvo de negação de serviços. O que pode ser sugerido para prevenir esse tipo de ataque?;utilizar um servidor ilimitado;não acessar sites de empresas;utilizar servidores proxy;3
Em segurança da informação, o que é um worm?;Joguinho de computador;Uma arma biológica desenvolvida pra destruir o universo;Um malware que se espalha em outros computadores;3
Normalmente, um ataque de negação de serviço não pode ser evitado com 100% de certeza de que não vai se consolidar. Algumas medidas podem ser utilizadas em conjunto, para que se possa diminuir o risco de acontecer o ataque, qual medida abaixo podem ser utilizada?;Implementação de IP fixo nas estações de trabalho;Implementação de filtragem de entrada e saída;Implementação de um dispositivo chamado DoS (Denial Of Service);2
É uma norma internacional de Gestão de Segurança da Informação, que tem como princípio geral a adoção de um conjunto de requisitos, processos e controles, que visam gerir adequadamente os riscos de Segurança da Informação presentes nas organizações. Qual a referente norma citada acima?;ISO 27001;ITIL;COBIT;1
Os mecanismos de segurança da informação, tanto de indivíduos quanto de organizações, podem ser classificados em:;Controles físicos e controles de acesso;Controles acesso e controles lógicos;Controles físicos e controles lógicos;3
A segurança da informação tem como base, aspectos, denominados pilares da segurança da informação. Quais seriam esses pilares?;Confidencialidade, Integridade e Disponibilidade;Integridade, Vulnerabilidade e Usuário;Disponibilidade, Integridade e Vulnerabilidade;1
Quais as principais características da ISSO 27001?;Análise de desempenho, Recurso de gestão, Comprometimento e Definição de objetivos e estratégias;Análise de risco, Comprometimento alta gestão, Definição de objetivos e estratégias e Recursos humanos;Análise de risco, Comprometimento de alta gestão, Definição de objetivos e estratégias e Recursos e competências;3
Com as políticas de classificação das informações, elaboradas pelas própria empresas, as mesmas conseguem tomar ações preventivas de segurança, tendo como um de seus objetivos centrais:;reduzir o risco de que informações classificadas como sensíveis sejam acessadas por pessoas não autorizadas;garantir a divulgação inadequada para informações públicas;reduzir o risco de perda de integridade das informações que criam menor valor para o negócio;1
Um dos mais conhecidos inimigos da segurança da informação é o ataque de negação de serviço. Esse é um tipo de ataque que consiste na interrupção e no estrago de um serviço de dados ou de acesso à informação. Uma das medidas que pode ser utilizadas para que se possa diminuir o risco de acontecer o ataque é a:;Descartar a implementação de filtragem de entrada;Autenticação de atualizações de roteamento;Ataque de protocolo;2
A norma NBR ISO/IEC 27001 realiza a descrição de um modelo para estabelecer, implementar, operar, monitorar, analisar criticamente, manter e melhorar um SGSI. Algumas atividades que fazem parte do SGSI são detalhadas em outras normas. A norma que detalha as orientações para a implantação de um SGSI é:;NBR ISO/IEC 27002;NBR ISO/IEC 27004;NBR ISO/IEC 27003;3
Qual a diferença entre dados e informação?;Dados são fatos brutos que não receberam tratamento, informação é o resultado dosdados já tratados.;Dados são gerados de forma automática pelo computador, informação é tudo aquiloque é inserido por um operador.;Não existe diferença entre dados e informação, sendo apenas formas diferentes dereferenciar a mesma coisa;1
Em segurança da informação, quais aspectos são denominados pilares da segurança da informação?;Confidencialidade, longevidade e integridade.;Integridade, disponibilidade e vulnerabilidade.;Confidencialidade, integridade e disponibilidade.;3
Em se tratando de vulnerabilidades, como são classificadas os tipos de ameaça?;Natural, acidental e humana.;Natural, involuntária e intencional.;Natural, intencional e acidental.;2
Um ataque é caracterizado por criar uma pesada carga de processamento em um servidor sobrecarregando com requisições desnecessárias. Esse ataque chama-se?;Dos;Spoofing;Beast;1
O criminoso obtém a confiança da vítima e engana-a para extrair dados pessoais, seja por telefone, mensagem, sms ou e-mail que tipo de ataque se caracteriza:;Engenharia Social;Malware;Phishing;1
Assinale a opção que descreve corretamente um firewall.;Um dispositivo de segurança de rede que monitora o tráfego de entrada e saída, e admite ou bloqueia tráfegos específicos. - Correta;Um antivírus que atua diretamente na conexão de uma rede interna.;Um nome genérico para um conjunto de procedimentos que realizam a autenticação de usuários de aplicações Web em uma rede protegida.;1
Paulo está efetuando uma auditoria na empresa BalasGoma com o intuito de diagnosticar vulnerabilidades e sugerir melhorias na segurança da informação. Paulo identificou que a empresa possui um datacenter onde estão localizados todos os servidores da instituição. Após concluir o seu relatório, Paulo sugeriu três melhorias para a sala do datacenter, visando diminuir as vulnerabilidades físicas encontradas. Marque a alternativa que corresponde a sugestão correta de Paulo para o Datacenter;Implementar uma solução de Antivírus nos servidores, efetuar a substituição do rack aberto por um modelo fechado com chave e efetuar o backup dos arquivos para um ambiente na nuvem.;Efetuar a manutenção nos Nobreak periodicamente para garantir a integridade das baterias, implementar um sistema de monitoramento para alertas do ambiente (energia, temperatura e umidade) e implementar um sistema biometria para restringir o acesso a sala do datacenter.;Limitar o controle de acesso a sala do datacenter somente as pessoas autorizadas, efetuar um inventário de hardware e software das máquinas no DC e implementar uma solução de firewall para filtrar e barrar os pacotes de conexão indesejados.;2
Maria trabalha na empresa InfoContabil, a qual sofreu um ataque cibernético recentemente. A InfoContabil contratou uma empresa de segurança para investigar o tipo de ataque e apresentar uma possível solução, visando prevenir ataques futuros. Conversando com Maria, informou que o indivíduo mal intencionado conseguiu acesso ao e-mail do financeiro, onde emitiu uma guia de pagamento de R$20.000,00 reais, se passando por um fornecedor da empresa. Foram verificados todos os servidores e as estações de trabalho dos usuários, mas não foi encontrado nenhum rastro do ataque, analisando os Logs da Central telefônica, foi possível encontrar um registro de entrada de uma ligação vindo de um número desconhecido. No resultado do Pentest (Penetration Test), o mesmo informou que a porta 443 (HTTPS) do servidor SRV01AD está aberta para a WAN sem restrição de origem. Essa publicação se trata do sistema da empresa, onde seus clientes efetuam o acesso. O relatório também informou que a senha do usuário administrador do servidor SRV01AD está com seu nível de segurança muito baixo. A conclusão apresentada pela empresa de segurança, identificou o tipo de ataque e sugeriu uma solução para que a InfoContabil consiga se prevenir, evitando ataques futuros deste mesmo tipo. Selecione a resposta correta do tipo de ataque e solução identificada pelos analistas na auditoria.;Ataque de força bruta, a sugestão é a instalação de antivírus nos servidores e também nas estações de trabalho;DDOS “Negação de Serviço”, a sugestão é efetuar a implantação de um Firewall;Engenharia Social, a solução é realizar treinamento com os colaboradores da empresa;3
A empresa DeixaComigo prestadora de serviços, oferece variados serviços como Desenvolvimento de Softwares, Pesquisa e Gerenciamento de Grandes Volumes de Dados e Gestão de Transferências Eletrônicas (TEF), a empresa já adotou um conjunto de requisitos, processos e controles que minimizam o risco da organização, garantindo a proteção de pesquisas e dados de software, informações empresariais, além dos dados de clientes físicos e jurídicos que trafegam pela empresa, assim viabilizando um Sistema de Gestão de Segurança da Informação. Para aumentar sua credibilidade a empresa resolveu então se certificar segundo uma Norma ISO. Assinale a certificação que rege esse conceito de SGSI:;Certificação ISO 27005;Certificação ISO 27001;Certificação ISO 27002;2
Baseado em segurança da informação, o que torna uma informação secreta?;Informação que deve ser mantida internamente, na empresa, e cuja propagação causa prejuízos.;Informação que não pode ser propagada externamente por motivo algum. Ela é altamente relevante e sua propagação pode ser altamente relevante para as empresas.;Informação que pode ser acessada por qualquer outra pessoa ou empresa.;1
Relacionado a maneiras de defesa física da segurança da informação, qual das opções representa a maneira física?;Firewalls que somente permitem o acesso quando você completa uma série de critérios e requisitos.;Paredes, muros, trancas, fechaduras ou até mesmo blindagem.;Senhas complexas e de grande complexidade.;2
Qual o objetivo das normas da família ISO 27000?;As normas ISO 27000 visam apenas à retirada de operação de um SGSI.;As normas ISO 27000 visam apenas à melhoria de um SGSI já existente.;As normas ISO 27000 visam à implementação de um SGSI, desde a sua criação até o seu funcionamento e sua melhoria.;3
Quais as normas mais conhecidas relacionadas a segurança de dados digitais e sistema de armazenamento eletrônico?;ISO 27002 e 27010;ISO 27001 e 27020;ISO 27001 e 27002;3
Fazem parte dos 4 pilares da segurança da informação: I Confidencialidade - II. Integridade - III. Responsabilidade. Diante das alternativas, estão corretas:;Todas as afirmativas estão corretas;Somente a afirmativa I está correta;As Afirmativa I e III estão corretas;1
De quantas normas é constituída a família ISO 27000?;7;8;9;2
Qual destes equipamentos serve para filtrar as informações requisitadas?;Hub;Roteador;Firewall;3
O que é um KeyNote?;Uma linguagem que especifica termos de política de segurança da informação;Um tipo de programa antivírus;Uma linguagem que define regras para um firewall;1
A informação pode ter diferentes tipos de acesso dependendo da sua classificação;não, a informação pode ser acessada por qualquer pessoa independente da sua classificação;sim, a informação possui diferentes tipos de classificação desde pública até secreta para diferentes níveis de acesso;sim, mas o ideal é que toda a informação seja pública independente do tipo de informação contida;2
Quando a informação deve ser protegida?;durante toda o seu ciclo de vida;somente quando alguém tentar editar as informações contidas;quando a informação for enviada para algum aplicativo ou outra rede de computadores;1
O que é integridade de arquivos?;garantir que o arquivo nunca foi alterado após sua criação;ter um arquivo criptografado de ponta a ponta;garantir que o arquivo não seja alterado por pessoas não autorizadas;3
As normas ISO são de suma importância pois:;garantir que os serviços não estejam corrompidos;garantir a maior segurança dentro de uma organização;garantir que o usuário final esteja com acesso aos serviços;2
Plano de contingência é:;Documento que contém diretrizes e decisões a serem tomadas em casos de cenários desastrosos e diminuindo o impacto negativo.;Documento com normas a serem tomadas em caso de impactos de produção;Documento com dados para segurança da informação;1
De acordo com a ABNT NBR ISO/IEC 27001, entre os controles da organização interna da segurança da informação inclui-se?;verificar o histórico de candidatos em processo de seleção antes da contratação.;descartar qualquer tipo de mídia com informações confidenciais;considerar a segurança da informação em qualquer tipo de projeto.;3
Baseada nas melhores práticas para segurança da informação, uma instituição governamental visa à melhor gestão dos seus ativos e classificação das informações. Três dentre os critérios mínimos aceitáveis para atingir esse objetivo são:;Confidencialidade, criticidade e prazo de retenção;Integridade, sigilo e amplitude;Disponibilidade, restrição de acesso e integração;1
A norma ISO 27001 estabelece a seguinte definição: uso sistemático de informações para identificar fontes e estimar o risco. Essa definição corresponde à:;gestão dos riscos;análise de riscos.;diminuição de riscos.;2
